[Parameters]
Operating Mode, Non-Feedback
0.271,0.068,0.282,-5.337
0.338,0.063,0.277,-5.337
0.368,0.067,0.280,-5.337
0.341,0.069,0.283,-5.337
0.320,0.065,0.278,-5.337
0.347,0.063,0.274,-5.337
0.355,0.066,0.275,-5.337
0.407,0.064,0.279,-5.337
0.351,0.066,0.281,-5.337
0.311,0.064,0.282,-5.337
0.342,0.061,0.282,-5.337
0.374,0.057,0.282,-5.337
0.360,0.059,0.283,-5.337
0.278,0.063,0.282,-5.337
0.217,0.067,0.280,-5.337
0.206,0.067,0.279,-5.337
0.192,0.063,0.280,-5.337
0.251,0.058,0.281,-5.337
0.322,0.054,0.281,-5.337
0.410,0.056,0.280,-5.337
0.418,0.057,0.281,-5.337
0.375,0.061,0.283,-5.337
0.335,0.062,0.282,-5.337
0.366,0.061,0.283,-5.337
0.393,0.055,0.284,-5.337
0.408,0.058,0.282,-5.337
0.416,0.056,0.280,-5.337
0.440,0.055,0.279,-5.337
0.395,0.055,0.276,-5.337
0.344,0.057,0.276,-5.337
0.348,0.053,0.278,-5.337
0.372,0.051,0.277,-5.337
0.379,0.051,0.278,-5.337
0.352,0.053,0.280,-5.337
0.310,0.053,0.282,-5.337
0.361,0.052,0.280,-5.337
0.325,0.052,0.279,-5.337
0.302,0.052,0.281,-5.337
0.344,0.051,0.284,-5.337
0.406,0.053,0.283,-5.337
0.378,0.053,0.282,-5.337
0.307,0.052,0.279,-5.337
0.217,0.051,0.277,-5.337
0.218,0.050,0.280,-5.337
0.328,0.051,0.281,-5.337
0.285,0.052,0.281,-5.337
0.228,0.054,0.281,-5.337
0.197,0.055,0.281,-5.337
0.189,0.055,0.280,-5.337
0.195,0.055,0.279,-5.337
0.210,0.057,0.276,-5.337
0.193,0.058,0.280,-5.337
0.207,0.056,0.282,-5.337
0.209,0.050,0.281,-5.337
0.246,0.051,0.279,-5.337
0.330,0.051,0.283,-5.337
0.336,0.051,0.280,-5.337
0.303,0.051,0.279,-5.337
0.299,0.050,0.279,-5.337
0.334,0.050,0.279,-5.337
0.310,0.050,0.279,-5.337
0.244,0.051,0.276,-5.337
0.245,0.049,0.274,-5.337
0.241,0.053,0.275,-5.337
0.243,0.052,0.280,-5.337
0.253,0.051,0.285,-5.337
0.274,0.050,0.285,-5.337
0.277,0.052,0.282,-5.337
0.237,0.058,0.281,-5.337
0.228,0.057,0.280,-5.337
0.303,0.051,0.280,-5.337
0.328,0.051,0.280,-5.337
0.323,0.053,0.279,-5.337
0.292,0.051,0.280,-5.337
0.289,0.051,0.278,-5.337
0.287,0.054,0.276,-5.337
0.260,0.051,0.279,-5.337
0.271,0.048,0.284,-5.337
0.380,0.047,0.286,-5.337
0.427,0.052,0.281,-5.337
0.353,0.055,0.279,-5.337
0.276,0.051,0.279,-5.337
0.255,0.052,0.281,-5.337
0.274,0.052,0.278,-5.337
0.327,0.051,0.276,-5.337
0.280,0.048,0.278,-5.337
0.311,0.048,0.278,-5.337
0.370,0.050,0.279,-5.337
0.392,0.049,0.281,-5.337
0.297,0.048,0.281,-5.337
0.252,0.049,0.279,-5.337
0.230,0.049,0.280,-5.337
0.207,0.052,0.278,-5.337
0.188,0.053,0.277,-5.337
0.250,0.050,0.280,-5.337
0.337,0.046,0.281,-5.337
0.268,0.050,0.278,-5.337
0.177,0.055,0.277,-5.337
0.149,0.054,0.277,-5.337
0.126,0.053,0.279,-5.337
0.142,0.052,0.278,-5.337
0.255,0.048,0.280,-5.337
0.298,0.047,0.282,-5.337
0.191,0.049,0.281,-5.337
0.175,0.045,0.278,-5.337
0.172,0.047,0.276,-5.337
0.168,0.047,0.278,-5.337
0.228,0.050,0.283,-5.337
0.291,0.046,0.282,-5.337
0.272,0.044,0.282,-5.337
0.204,0.045,0.282,-5.337
0.225,0.046,0.276,-5.337
0.224,0.049,0.272,-5.337
0.228,0.049,0.274,-5.337
0.157,0.046,0.281,-5.337
0.135,0.045,0.280,-5.337
0.166,0.045,0.279,-5.337
0.144,0.047,0.277,-5.337
0.197,0.045,0.280,-5.337
0.230,0.041,0.281,-5.337
0.194,0.045,0.281,-5.337
0.163,0.049,0.277,-5.337
0.199,0.049,0.282,-5.337
0.195,0.045,0.286,-5.337
0.146,0.045,0.286,-5.337
0.168,0.046,0.287,-5.337
0.249,0.047,0.284,-5.337
0.324,0.043,0.281,-5.337
0.229,0.043,0.277,-5.337
0.142,0.044,0.277,-5.337
0.180,0.045,0.279,-5.337
0.191,0.046,0.282,-5.337
0.115,0.044,0.281,-5.337
0.142,0.041,0.281,-5.337
0.186,0.044,0.282,-5.337
0.150,0.047,0.282,-5.337
0.111,0.049,0.280,-5.337
0.080,0.048,0.282,-5.337
